patient_id,x0,x1,x2,x3
0,-0.14399971,0.76916796,-0.976061,-0.23161942
1,0.55092967,-1.606236,-0.590786,-0.13025312
2,0.7644308,-1.1666489,-0.7302355,1.985976
3,0.17970006,0.7460953,1.4319829,-0.23861484
4,-0.3487571,-0.29334918,-0.73994434,0.576944
5,0.14758556,0.4595596,-0.92531645,-0.46354964
6,1.238934,0.14916933,-1.602192,0.14197417
7,0.47881547,-0.42526856,0.5248338,-0.6708425
8,2.8907833,-1.0019433,-0.26231492,0.75250703
9,-1.1390686,0.01697466,0.29077867,0.4707885
10,0.8725216,1.2758956,0.64271355,1.4139247
11,-0.66007555,-0.2106098,-0.51324594,-0.5152316
12,0.17578495,0.077857725,0.9259785,0.36523023
13,-1.1575125,-0.04005657,-0.7427784,1.6867296
14,0.31871852,-0.9673177,-0.5912031,-0.7311781
15,-0.8333702,2.0450196,1.7682385,-0.27724308
16,-2.0025837,-1.5725365,-0.65459305,0.968105
17,0.62092155,0.2406556,-0.86795807,-0.16280828
18,-0.859375,-0.07344722,0.48483554,-0.12711728
19,-0.51813275,0.5465217,1.2480291,-0.58434534
20,0.016847154,1.2615545,0.6417013,0.24584517
21,-0.81330276,-1.6497337,0.5660934,-0.062056363
22,-0.29822922,0.6317145,-0.17995502,0.7666967
23,-0.7307254,1.6604023,-1.1267451,2.3631444
24,2.1899066,-1.9171703,0.30483648,0.97123003
25,1.0031167,-0.41743645,-0.28105956,0.8644105
26,2.3482075,-0.3957493,-0.6999208,-1.1610335
27,1.1745147,0.3845876,1.636675,-0.47566283
28,1.219448,0.5499437,0.97050464,-0.031373937
29,-1.4943913,-0.8227656,0.94081336,0.010473396
30,-0.27386075,2.754612,-0.26612857,1.1400017
31,0.6261625,-1.2977668,0.6524722,0.060395774
32,2.493765,0.6666142,-0.06913504,-0.14780934
33,2.1371586,1.2905155,0.013993395,-0.63421714
34,0.4905119,-0.0313341,-0.38975793,1.1986538
35,-0.47187623,0.4525307,0.69737357,-0.47059488
36,-0.6274168,0.69998467,-0.7823508,-1.2026511
37,0.9256218,1.2005724,1.41578,0.6339676
38,0.22710301,-0.14188209,-0.91023016,-1.022732
39,-0.46989635,-0.3839235,-0.52281815,-1.2703081
40,2.366809,-0.42106918,1.1839606,-0.9709442
41,0.84881496,1.012281,-0.09608082,1.3495501
42,1.8735023,0.8917582,-0.49012718,0.33071706
43,0.12508684,0.46358564,-0.3945543,-1.3736031
44,-0.5720609,-1.608721,-2.8334572,1.9209409
45,-0.28981182,-0.7760373,-0.6156609,1.189267
46,-0.25618005,-0.26005584,1.1534419,0.64259213
47,-1.372931,-0.4757995,-0.05312578,-0.11454728
48,-0.27123177,0.65420467,-1.691145,-2.0683503
49,-0.3609897,0.004586044,0.053428605,1.6636947
50,0.42116627,-2.2597675,0.32729238,-0.52291864
51,1.312258,-0.6454054,-0.33845085,0.12469596
52,0.42930797,-0.08079466,0.5697604,-1.379532
53,0.27311695,0.20894232,0.15402527,-0.51641136
54,-1.3902565,0.29444462,-0.83671325,0.8370637
55,1.9489638,0.19191281,-0.43084812,-0.79030013
56,-0.57735515,-0.5196602,-0.509277,-0.7431682
57,1.2160258,-0.4613565,2.009122,-0.22705562
58,-1.8838363,-0.0028560474,-0.45628053,-0.90164554
59,0.9689974,-1.1547232,0.6420598,0.7401178
60,-1.7601088,0.8302785,-1.2984929,-0.12397403
61,0.8975616,-1.3170689,-0.26168182,-1.120552
62,-1.4158459,-1.0001798,-0.40445852,0.8124656
63,-1.5365489,0.41439062,0.51183885,-1.1008158
64,-0.19479209,2.560661,-1.122451,0.14690006
65,-0.024163516,-1.3098376,1.0857414,0.86164564
66,-0.85405475,1.0319563,-0.46718752,0.07949036
67,-0.061967734,-0.078503735,-0.8280468,1.1878042
68,-0.03742884,1.1382302,-2.5549939,1.0602994
69,0.812785,0.82125556,-0.19039045,-1.0754584
70,1.7643381,-1.1642386,-0.3693951,-0.37969992
71,-0.997762,0.8036189,-0.15348764,-0.98184294
72,0.6303232,0.47911695,1.186283,1.8070352
73,-0.6438401,-0.5022574,-1.0223405,0.71029115
74,-0.7710186,-0.3871529,0.834259,-1.0630062
75,-0.027013555,-0.23694688,0.89592314,-1.3387779
76,1.1179307,-0.4983732,0.587913,1.1534816
77,0.75745493,-1.2908759,-0.37331742,-0.028251156
78,0.086973086,1.3517894,0.022289975,-0.4652674
79,-0.3120908,-0.12804745,0.82383686,-2.3373768
80,0.9726803,-0.13090904,1.3883417,-1.2013447
81,-0.6078427,-0.8961761,-0.9014341,-2.449543
82,-0.4766585,-0.9876753,-1.072419,-0.7578931
83,-0.22284164,1.8462642,1.7393183,-0.4839617
84,1.128467,0.9338821,-1.453977,0.29185668
85,1.3225703,0.36637142,0.68020964,-1.88009
86,0.35720488,2.2663393,0.18006596,0.4269799
87,-0.6608427,0.99449605,-0.4588382,-1.8610953
88,-0.1612609,0.5216839,-0.034813337,-0.31029025
89,-1.5774443,-0.4458876,0.49277976,0.5360325
90,0.97550106,1.5017998,-1.853558,0.7200302
91,0.3497447,-0.93191224,0.38923502,-0.3200972
92,-0.25149077,1.5077006,-0.7934604,-0.23993663
93,0.5635838,-0.8893506,1.4307755,-0.5092531
94,-0.8016546,2.285165,3.5554419,-1.8993663
95,0.10867186,-1.8861959,1.5967809,0.74978596
96,0.2550743,0.42831752,1.289031,-0.29224297
97,1.8928986,1.2766709,-0.4345664,-0.8393454
98,-1.2497225,-0.019466415,0.034115665,0.14973491
99,2.2290628,0.53081673,-1.1621282,-0.10189317
100,0.5240857,2.7445652,-2.2749004,0.41387576
101,0.60653406,-0.9191148,0.909878,-0.925759
102,1.6630723,-0.1464984,0.0782895,0.36993435
103,-0.471724,-1.5145626,-0.82110816,1.4389853
104,-0.6727547,-1.025482,0.7146569,1.1477388
105,-0.2522016,-0.8116138,1.6992567,2.0962553
106,0.46236774,1.1491709,0.5362587,0.03590355
107,0.6238154,0.44055447,-0.2205962,-0.31613165
108,-0.38929424,1.8379827,-1.7532945,1.1922975
109,-0.2262761,1.7138238,-0.9283212,0.25645572
110,-0.89908457,1.836355,-1.086492,0.007937654
111,0.27597153,-1.2406721,0.74107915,-0.9596517
112,-0.8339831,0.040870186,-1.1489172,-0.8501294
113,0.37346983,1.096159,-2.2743955,0.6654809
114,0.31871688,3.3180168,-1.7844211,-0.2915416
115,-1.4442893,0.7642947,-0.42932856,0.45107368
116,1.6433228,-0.05239832,0.92325646,-1.0196781
117,1.0610284,-0.38146552,-0.473211,0.64430845
118,-0.057087876,-0.96336955,-0.9315244,-1.4137549
119,-0.15541784,-2.398283,-0.29430717,-1.1025511
120,0.43971175,-0.7460769,-0.2403543,1.2827196
121,-0.83310014,-1.3958659,-0.7632344,-1.2717397
122,1.2667748,-1.4992507,-1.0175828,0.5952881
123,1.1653818,0.57128906,-0.49336186,-1.3565667
124,1.2395531,0.45060188,1.5121291,-0.02492661
125,-1.605776,0.5089079,0.08925741,1.1411848
126,-0.49639612,-0.22652566,-0.1402436,-0.23606502
127,-1.4561529,-0.37293538,-1.2418277,-1.0337335
128,-2.060057,-0.43062237,-1.0604063,0.90584916
129,-2.5973551,0.7344877,0.4501779,-0.8711351
130,-0.7451112,-1.391293,1.5997531,-1.59756
131,-1.8674786,1.0901064,1.0896736,0.014356484
132,-0.18489726,-0.54378694,-1.4784596,-0.2330737
133,0.5318861,-1.8151028,0.32803062,-0.8246992
134,-0.20407674,1.1224875,-1.3198566,-0.32007182
135,-0.5166239,1.2925687,-1.1736078,-1.7126498
136,-2.0536125,1.8340479,0.5592509,-0.7631011
137,0.35969558,1.0550009,-0.7746031,-0.7035315
138,-0.17031793,0.38370097,0.8073137,-0.28380245
139,-0.548546,-0.2649083,1.2924087,0.56217504
140,0.34308794,-0.47679102,-0.12509888,0.15315475
141,-0.34397572,-0.7658161,-0.9148205,-0.45734054
142,-1.3238173,0.8421782,-0.63707715,-1.1085898
143,-1.7065111,1.5138099,1.104277,-0.43774858
144,0.5336022,-0.04130939,-0.25330073,1.5425161
145,0.36187607,0.46061006,1.6417174,1.3410283
146,-0.4616034,0.05354595,-0.46438324,0.50416756
147,-0.5989539,-0.8735505,1.884398,-1.3451521
148,0.1628931,-0.80374724,0.8476223,-0.9197633
149,1.1121399,-0.011603097,0.7594332,1.4415503
